date,coin,usd,usd_24h_change,usd_market_cap
2026-07-23,bitcoin,64779,-1.57,1299203365599.1301
2026-07-23,ethereum,1878.33,-2.47,226599665951.69583
2026-07-23,solana,75.6,-2.56,44052372424.1086
2026-07-24,bitcoin,64155,-1.1,1286847904954.3132
2026-07-24,ethereum,1860.39,-1.07,224480669814.6683
2026-07-24,solana,73.9,-2.41,43071291923.93493
2026-07-25,bitcoin,64369,0.43,1291241351225.0461
2026-07-25,ethereum,1875.0,0.98,226278071467.02362
2026-07-25,solana,74.62,1.17,43504825346.948105
2026-07-26,bitcoin,64707,0.89,1298154660362.6533
2026-07-26,ethereum,1915.79,2.7,231207367101.16162
2026-07-26,solana,75.53,1.76,44029797125.8669
2026-07-27,bitcoin,64991,0.55,1303852262335.182
2026-07-27,ethereum,1941.61,1.63,234327435936.91254
2026-07-27,solana,76.0,0.95,44321776067.332695
2026-07-28,bitcoin,63736,-1.92,1278956274562.6821
2026-07-28,ethereum,1910.0,-1.7,230529985976.11215
2026-07-28,solana,73.91,-2.84,43095326179.14656
2026-07-29,bitcoin,63762,-0.02,1278874921069.4312
2026-07-29,ethereum,1896.3,-0.9,228817263152.71683
2026-07-29,solana,73.31,-1.02,42475385614.6536
2026-07-30,bitcoin,64864,1.74,1301388872612.0012
2026-07-30,ethereum,1920.05,1.21,231716481853.30597
2026-07-30,solana,74.54,1.73,43204942989.2576
2026-07-31,bitcoin,62896,-3.04,1261944445632.068
2026-07-31,ethereum,1868.35,-2.68,225495748336.31042
2026-07-31,solana,73.26,-1.68,42474228334.74419
2026-08-01,bitcoin,62875,0.11,1261548830099.4153
2026-08-01,ethereum,1866.95,0.25,225307784257.40863
2026-08-01,solana,72.66,-0.79,42241158476.55429
2026-08-02,bitcoin,63135,0.41,1266787463026.488
2026-08-02,ethereum,1862.06,-0.26,224701337975.91034
2026-08-02,solana,73.13,0.59,42499805587.69062
2026-08-03,bitcoin,62598,-1.31,1255974059298.1045
2026-08-03,ethereum,1848.93,-1.38,223136973824.46295
2026-08-03,solana,72.56,-1.13,42174527068.49123
2026-08-05,bitcoin,64523,0.81,1294670361200.8567
2026-08-05,ethereum,1890.66,1.08,228168735076.77243
2026-08-05,solana,74.14,0.29,43094752828.28817
2026-08-06,bitcoin,64698,0.7,1298229817596.6062
2026-08-06,ethereum,1908.71,2.15,230295150514.4486
2026-08-06,solana,73.94,-0.11,42975270325.20453
2026-08-07,bitcoin,64878,0.34,1301908971796.0256
2026-08-07,ethereum,1913.58,0.02,230935444082.34534
2026-08-07,solana,73.71,0.46,42901032689.2707
2026-08-08,bitcoin,65033,0.24,1305046487123.7397
2026-08-08,ethereum,1921.32,0.39,231861564377.48184
2026-08-08,solana,76.25,3.29,44378689854.90347
2026-08-09,bitcoin,65144,0.2,1307299400641.651
2026-08-09,ethereum,1920.97,0.0,231826702761.5487
2026-08-09,solana,77.05,1.07,44857724595.344
2026-08-10,bitcoin,63871,-2.03,1282037131935.5706
2026-08-10,ethereum,1870.52,-2.74,225804069042.1056
2026-08-10,solana,75.62,-2.04,44031944942.58149
2026-08-11,bitcoin,63466,-0.56,1273682765922.6008
2026-08-11,ethereum,1863.05,-0.32,224836598993.1781
2026-08-11,solana,74.86,-0.97,43605641563.94278
2026-08-12,bitcoin,63448,-0.02,1273422355998.514
2026-08-12,ethereum,1889.69,1.42,228043063545.42566
2026-08-12,solana,75.6,1.0,44038013353.54655
2026-08-13,bitcoin,63149,-0.47,1267277290272.5078
2026-08-13,ethereum,1874.45,-0.8,226150917131.49326
2026-08-13,solana,75.55,-0.06,44013150414.09822
2026-08-14,bitcoin,63137,0.33,1267212485249.9119
2026-08-14,ethereum,1883.98,0.83,227332286027.8653
2026-08-14,solana,75.5,0.29,43980587907.643875
2026-08-15,bitcoin,63022,0.04,1264643574082.2744
2026-08-15,ethereum,1882.72,0.18,227155252904.54767
2026-08-15,solana,75.38,-0.22,43916812340.21356
2026-08-16,bitcoin,63231,0.33,1269110541766.0496
2026-08-16,ethereum,1884.87,0.12,227516669206.38568
2026-08-16,solana,75.53,0.2,44017547149.44139
2026-08-17,bitcoin,64062,1.3,1285823478635.703
2026-08-17,ethereum,1908.36,1.2,230304733300.85785
2026-08-17,solana,75.96,0.61,44283077593.92008
2026-08-18,bitcoin,64691,1.01,1298437115712.8635
2026-08-18,ethereum,1914.14,0.38,231002107978.81305
2026-08-18,solana,76.89,1.26,44818074197.27514
2026-08-19,bitcoin,68757,6.32,1380438236985.7188
2026-08-19,ethereum,2097.57,9.65,253203910581.021
2026-08-19,solana,81.91,6.61,46812513084.433105
2026-08-20,bitcoin,72368,5.18,1452545427347.5923
2026-08-20,ethereum,2324.98,10.79,280274189999.6966
2026-08-20,solana,87.06,6.3,50722746824.4574
2026-08-21,bitcoin,77262,6.8,1550052893590.2288
2026-08-21,ethereum,2399.44,3.28,289478604666.4094
2026-08-21,solana,91.39,5.02,53269502048.191124
2026-08-22,bitcoin,77116,0.08,1547829085496.3254
2026-08-22,ethereum,2417.07,0.98,291695830802.90015
2026-08-22,solana,93.67,2.74,54627599892.36431
2026-08-23,bitcoin,77260,0.15,1550503245784.6514
2026-08-23,ethereum,2444.25,1.06,294976387807.08026
2026-08-23,solana,95.28,1.55,55571477411.067665
2026-08-24,bitcoin,79687,2.99,1599442695343.177
2026-08-24,ethereum,2497.98,1.98,301459859482.19275
2026-08-24,solana,97.15,1.66,56657153399.30077
2026-08-25,bitcoin,79298,-0.44,1591212689088.0823
2026-08-25,ethereum,2475.03,-0.86,298690175469.24365
2026-08-25,solana,98.3,1.21,57289634415.711685
2026-08-26,bitcoin,77899,-1.74,1563864335898.8794
2026-08-26,ethereum,2439.79,-1.49,294393436936.3157
2026-08-26,solana,95.55,-2.98,55733761681.78364
2026-08-27,bitcoin,80136,2.81,1608829259288.3337
2026-08-27,ethereum,2514.26,2.81,303447908387.3209
2026-08-27,solana,106.95,11.77,62466827731.692505
2026-08-28,bitcoin,78874,-1.84,1582470341358.682
2026-08-28,ethereum,2493.61,-1.13,300760761709.27576
2026-08-28,solana,106.09,-0.83,61888217444.26179
2026-08-29,bitcoin,78243,0.75,1570870014356.1868
2026-08-29,ethereum,2453.89,0.78,296137932941.37726
2026-08-29,solana,105.29,1.85,61520141949.140755
2026-08-30,bitcoin,79022,1.11,1586553048022.1787
2026-08-30,ethereum,2510.19,2.35,302933246146.7659
2026-08-30,solana,106.68,1.45,62423531106.501976
2026-08-31,bitcoin,78835,0.4,1582834820310.0972
2026-08-31,ethereum,2472.54,-0.11,298388989381.77075
2026-08-31,solana,103.41,-0.63,60521925410.482216
2026-09-01,bitcoin,77159,-2.56,1549453409158.2224
2026-09-01,ethereum,2414.05,-2.93,291405283417.0747
2026-09-01,solana,99.64,-4.69,58311543363.77437
2026-09-02,bitcoin,77335,0.23,1552818720829.4832
2026-09-02,ethereum,2394.94,-0.8,292210820268.0073
2026-09-02,solana,99.53,-0.2,58254056501.078476
2026-09-03,bitcoin,81243,5.07,1631271937831.0427
2026-09-03,ethereum,2515.22,5.08,306976150614.0156
2026-09-03,solana,105.29,5.88,61618758622.18492
2026-09-04,bitcoin,79633,-1.71,1599002465911.0237
2026-09-04,ethereum,2450.97,-1.99,299062760753.7514
2026-09-04,solana,101.6,-3.12,59471994621.52752
2026-09-05,bitcoin,80068,0.83,1607747704611.3286
2026-09-05,ethereum,2478.9,1.43,302477838136.1308
2026-09-05,solana,103.9,2.73,60799047989.82011
2026-09-06,bitcoin,79748,-0.38,1601369228081.0198
2026-09-06,ethereum,2492.57,0.47,304152569058.55084
2026-09-06,solana,106.2,1.87,62176993804.29572
